# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1402
#@/user_id	TonyjiansWindows
G B K 	GBK	c=1 d=0.316637 t=1402
G K D 	GKD	c=1 d=0.092089 t=1402
H M A 	HMA	c=1 d=0.463013 t=1402
J D S F C B A D D S D 	JDSFCBADDSD	c=1 d=0.923116 t=1402
U 	U	c=1 d=0.343009 t=1402
W 	W	c=1 d=0.310367 t=1402
X 	X	c=1 d=0.308819 t=1402
a 	啊	c=5 d=1.13021 t=1402
a fan da 	阿凡达	c=1 d=0.666977 t=1402
ai 	唉	c=2 d=1.44145 t=1402
ai 	爱	c=0 d=0.101451 t=1402
ai guo 	爱国	c=1 d=0.826959 t=1402
ai shi fu 	艾师傅	c=1 d=0.818731 t=1402
an 	按	c=1 d=0.46931 t=1402
an nai bu zhu 	按耐不住	c=1 d=0.980199 t=1402
an zhuang 	安装	c=1 d=0.442639 t=1402
an zhuang le 	安装了	c=1 d=0.571209 t=1402
ba 	吧	c=1 d=0.261846 t=1402
ba 	把	c=6 d=1.8419 t=1402
ban 	版	c=1 d=0.29671 t=1402
ban ben 	版本	c=1 d=0.40657 t=1402
ban fa 	办法	c=0 d=0.0261846 t=1402
ban li 	办理	c=2 d=0.580233 t=1402
ban tian 	半天	c=0 d=0.0151829 t=1402
ban tian le 	半天了	c=1 d=0.15259 t=1402
ban ye san geng 	半夜三更	c=1 d=0.341298 t=1402
bao qian 	抱歉	c=1 d=0.264477 t=1402
bei 	呗	c=1 d=1 t=1402
bei 	被	c=1 d=0.198891 t=1402
bei fen 	备份	c=3 d=2.32732 t=1402
bei yong 	备用	c=0 d=0.0412714 t=1402
bei yong ban 	备用版	c=1 d=0.414783 t=1402
ben 	本	c=1 d=0.313486 t=1402
ben di 	本地	c=1 d=0.859053 t=1402
ben di bu shu yi xia 	本地部署一下	c=1 d=0.557106 t=1402
ben ren 	本人	c=1 d=0.082085 t=1402
beng kui 	崩溃	c=1 d=0.798516 t=1402
bi 	比	c=2 d=0.99628 t=1402
bi ru 	比如	c=3 d=1.16746 t=1402
bi xu 	必须	c=0 d=0.0606531 t=1402
bi xu de dong xi 	必须的东西	c=1 d=0.609571 t=1402
bi zui ba 	闭嘴吧	c=1 d=0.29523 t=1402
bian 	编	c=1 d=0.821801 t=1402
bian hao 	编号	c=1 d=0.38868 t=1402
biao 	表	c=1 d=0.847894 t=1402
biao ge 	表格	c=1 d=0.647265 t=1402
biao ji 	标记	c=1 d=0.806541 t=1402
biao ming 	表明	c=0 d=0.00495388 t=1402
biao qian ye 	标签页	c=1 d=0.463013 t=1402
bing mei you 	并没有	c=2 d=0.849149 t=1402
bing mei you sheng xiao 	并没有生效	c=1 d=0.932394 t=1402
bing qie 	并且	c=1 d=0.923116 t=1402
bing wu 	并无	c=0 d=0.011475 t=1402
bing wu qiang lie zhi nian 	并无强烈执念	c=1 d=0.115325 t=1402
bo 	波	c=1 d=0.524663 t=1402
bo ke 	博客	c=7 d=1.66158 t=1402
bo zhe 	波折	c=1 d=0.146607 t=1402
bu 	不	c=0 d=0.056836 t=1402
bu 	步	c=1 d=0.782705 t=1402
bu 	部	c=1 d=0.355226 t=1402
bu chu xian 	不出现	c=1 d=0.802519 t=1402
bu cun zai 	不存在	c=1 d=0.142987 t=1402
bu cuo 	不错	c=0 d=0.0261846 t=1402
bu cuo de ban fa 	不错的办法	c=1 d=0.263158 t=1402
bu dong 	不懂	c=1 d=0.0824965 t=1402
bu dui wen zhi 	部队文职	c=1 d=0.379083 t=1402
bu neng guan 	不能管	c=1 d=0.0526021 t=1402
bu neng yong 	不能用	c=1 d=0.666977 t=1402
bu ru 	不如	c=1 d=0.909373 t=1402
bu shi 	不是	c=4 d=1.02178 t=1402
bu shi yong yu 	不适用于	c=1 d=0.501576 t=1402
bu shu 	部署	c=1 d=0.832464 t=1402
bu shu dao 	部署到	c=1 d=0.565525 t=1402
bu shu fu 	不舒服	c=0 d=0.0913931 t=1402
bu shu le 	部署了	c=1 d=0.537944 t=1402
bu wan 	不完	c=0 d=0.0168638 t=1402
bu xing 	不行	c=3 d=0.946485 t=1402
bu xing ma 	不行吗	c=3 d=1.89786 t=1402
bu yong le 	不用了	c=1 d=0.244143 t=1402
bu zhang 	部长	c=1 d=0.090718 t=1402
cai neng 	才能	c=0 d=0.0744532 t=1402
cai neng cha kan 	才能查看	c=1 d=0.748264 t=1402
cang ku 	仓库	c=1 d=0.433874 t=1402
cang lang 	沧浪	c=1 d=0.831104 t=1402
cang mang 	苍茫	c=0 d=0.101451 t=1402
cang mang de tian ya shi wo de ai 	苍茫的天涯是我的爱	c=1 d=0.722527 t=1402
cang mang de tian ya shi wo de ai mian yan de qing shan jiao xia hua zheng kai 	苍茫的天涯是我的爱绵延的青山脚下花正开	c=1 d=0.814647 t=1402
cao 	草	c=0 d=0.0362402 t=1402
cao hong le 	草红了	c=1 d=0.364219 t=1402
cao le 	操了	c=1 d=0.23457 t=1402
ce shi 	测试	c=1 d=0.479505 t=1402
cha kan 	查看	c=2 d=0.322219 t=1402
cha zhao 	查找	c=0 d=0.0609571 t=1402
chai fen cheng 	拆分成	c=1 d=0.628135 t=1402
chang shi 	尝试	c=1 d=0.19398 t=1402
chang shi yi xia 	尝试一下	c=1 d=0.83527 t=1402
chao chui 	潮吹	c=3 d=1.23437 t=1402
chao chui nv wang 	潮吹女王	c=1 d=0.941765 t=1402
chao pen 	潮喷	c=0 d=0.0348192 t=1402
che di 	彻底	c=1 d=0.0536647 t=1402
cheng 	成	c=1 d=0.798516 t=1402
cheng gong 	成功	c=0 d=0.0066205 t=1402
cheng xin 	诚信	c=0 d=0.0687289 t=1402
cheng xin bu shu 	诚信部署	c=1 d=0.690735 t=1402
cheng xing le 	成形了	c=1 d=0.778801 t=1402
cheng xu 	程序	c=1 d=0.0810093 t=1402
chong ming ming 	重命名	c=1 d=0.108208 t=1402
chong shi 	重试	c=1 d=0.166127 t=1402
chong xin 	重新	c=1 d=0.697676 t=1402
chu 	出	c=2 d=1.2587 t=1402
chu lai 	出来	c=1 d=0.890403 t=1402
chu lai de 	出来的	c=1 d=0.687289 t=1402
chu lai de shi 	出来的是	c=2 d=1.28814 t=1402
chu xian 	出现	c=2 d=0.961682 t=1402
chuang jian 	创建	c=0 d=0.0852144 t=1402
chuang jian le 	创建了	c=1 d=0.398519 t=1402
chui 	吹	c=1 d=0.329559 t=1402
chun cui 	纯粹	c=1 d=0.256661 t=1402
ci ku 	词库	c=1 d=0.878095 t=1402
ci you 	辞忧	c=2 d=0.622128 t=1402
cou qi 	凑齐	c=1 d=0.282239 t=1402
cuo wu 	错误	c=1 d=0.895835 t=1402
da 	大	c=0 d=0.069292 t=1402
da 	打	c=4 d=3.24613 t=1402
da bu kai 	打不开	c=1 d=0.704688 t=1402
da chao pen 	大潮喷	c=1 d=0.349938 t=1402
da cheng le 	打成了	c=0 d=0.0995012 t=1402
da chu 	打出	c=4 d=3.25413 t=1402
da dan ge dan ci 	打单个单词	c=1 d=0.647265 t=1402
da dian ying 	大电影	c=1 d=0.336216 t=1402
da gai 	大概	c=0 d=0.029523 t=1402
da jian 	搭建	c=1 d=0.38868 t=1402
da jue ding 	大绝顶	c=1 d=0.346456 t=1402
da kai 	打开	c=1 d=0.25284 t=1402
da mo xing 	大模型	c=1 d=0.494109 t=1402
da sha gu fen 	大厦股份	c=1 d=0.822835 t=1402
da shen men 	大神们	c=1 d=0.932393 t=1402
da shi jin 	大失禁	c=1 d=0.344728 t=1402
da ying 	打赢	c=0 d=0.0293758 t=1402
da ying fu huo sai 	打赢复活赛	c=1 d=0.29523 t=1402
da zi 	打字	c=1 d=0.791538 t=1402
da zi le 	打字了	c=1 d=0.729789 t=1402
dai 	带	c=1 d=0.10383 t=1402
dai biao shen me 	代表什么	c=2 d=1.69587 t=1402
dai lai 	带来	c=0 d=0.0404542 t=1402
dai lai na xie hao chu 	带来那些好处	c=1 d=0.40657 t=1402
dai ma 	代码	c=3 d=1.45312 t=1402
dai ma sheng cheng 	代码生成	c=1 d=0.50409 t=1402
dan 	但	c=2 d=0.234523 t=1402
dan 	单	c=0 d=0.0360595 t=1402
dan ci 	单词	c=0 d=0.0644036 t=1402
dan ge 	单个	c=0 d=0.0644036 t=1402
dan shi 	但是	c=4 d=1.0644 t=1402
dan shi liao sheng yu wu 	但是聊胜于无	c=1 d=0.0992613 t=1402
dan wo 	但我	c=0 d=0.0995012 t=1402
dan wo da cheng le 	但我打成了	c=1 d=1 t=1402
dan zhe yi ge 	单这一个	c=1 d=0.362402 t=1402
dang 	当	c=0 d=0.00773047 t=1402
dang yun xing de shi hou 	当运行的时候	c=1 d=0.0776922 t=1402
dao 	到	c=3 d=1.6992 t=1402
dao di shi 	到底是	c=1 d=0.408608 t=1402
dao shi 	倒是	c=1 d=0.690735 t=1402
de 	的	c=47 d=9.16212 t=1402
de shi hou 	的时候	c=0 d=0.0202909 t=1402
deng 	等	c=5 d=1.548 t=1402
deng deng 	等等	c=1 d=0.398519 t=1402
deng duo 	等多	c=0 d=0.0166127 t=1402
deng lu 	登录	c=1 d=0.744532 t=1402
deng yang shi 	等样式	c=1 d=0.740818 t=1402
di yi ci 	第一次	c=1 d=0.135335 t=1402
di yi hui 	第一回	c=1 d=0.650509 t=1402
dian 	点	c=0 d=0.0210136 t=1402
dian ji 	点击	c=0 d=0.0683861 t=1402
dian ji zhi jie xia zai 	点击直接下载	c=1 d=0.687289 t=1402
dian nao 	电脑	c=2 d=0.61179 t=1402
dian nao li 	电脑里	c=1 d=0.56836 t=1402
dian yan zheng 	点验证	c=1 d=0.211189 t=1402
diao yong 	调用	c=0 d=0.0574072 t=1402
diao yong ta 	调用它	c=1 d=0.57695 t=1402
dong wu cheng 	动物城	c=1 d=0.67032 t=1402
dong xi 	东西	c=4 d=1.46842 t=1402
dou 	都	c=2 d=1.48486 t=1402
dou bao 	豆包	c=5 d=2.43764 t=1402
dou fang zai le 	都放在了	c=1 d=0.0765355 t=1402
dou hao 	逗号	c=1 d=0.472367 t=1402
dou ji cheng jin qu 	都集成进去	c=1 d=0.179964 t=1402
dou mei fan ying 	都没反应	c=1 d=0.856415 t=1402
dou mei yong 	都没用	c=1 d=0.980199 t=1402
dou zai 	都在	c=1 d=0.438235 t=1402
du 	读	c=1 d=0.353455 t=1402
du bi shi jie 	杜比视界	c=1 d=0.891366 t=1402
du qu 	读取	c=1 d=0.0824151 t=1402
du qu bu dao 	读取不到	c=1 d=0.0780817 t=1402
duan 	段	c=1 d=0.83527 t=1402
dui 	对	c=2 d=0.638562 t=1402
dui bai 	对白	c=0 d=0.0329559 t=1402
dui bai zi mu 	对白字幕	c=1 d=0.331211 t=1402
dui bu qi 	对不起	c=2 d=1.51672 t=1402
dui li 	对立	c=0 d=0.0331211 t=1402
dui yu 	对于	c=1 d=0.0739031 t=1402
duo gui 	多轨	c=0 d=0.0119433 t=1402
duo gui kuai chuan 	多轨快传	c=1 d=0.120032 t=1402
duo le 	多了	c=0 d=0.0869358 t=1402
duo shao 	多少	c=1 d=0.435326 t=1402
duo shao ji 	多少集	c=0 d=0.0427415 t=1402
duo shao ji duo shao ji 	多少季多少集	c=1 d=0.429557 t=1402
e gao zhi jia 	恶搞之家	c=3 d=1.14869 t=1402
en 	嗯	c=1 d=0.927743 t=1402
en na 	嗯呐	c=1 d=0.232236 t=1402
er 	而	c=0 d=0.0790571 t=1402
er bi 	二逼	c=1 d=0.470011 t=1402
er bu shi 	而不是	c=4 d=1.97846 t=1402
er qie 	而且	c=3 d=0.860708 t=1402
er wo hen kuai de ji fen hai 	而我很快的积分还	c=1 d=0.794533 t=1402
fa 	发	c=0 d=0.157724 t=1402
fa bu ye 	发布页	c=1 d=0.308819 t=1402
fa gei 	发给	c=1 d=0.0850088 t=1402
fa ni de 	发你的	c=1 d=0.17552 t=1402
fa wo 	发我	c=1 d=0.733447 t=1402
fa yi hui shuo yi hui 	发一回说一回	c=1 d=0.786628 t=1402
fan 	烦	c=0 d=0.0474734 t=1402
fan jian ti 	繁简体	c=0 d=0.067368 t=1402
fan jian ti shu ru 	繁简体输入	c=1 d=0.677057 t=1402
fang an 	方案	c=1 d=0.418952 t=1402
fang an zhong 	方案中	c=1 d=0.715338 t=1402
fang dai 	房贷	c=1 d=0.0934807 t=1402
fang fa 	方法	c=2 d=0.97531 t=1402
fang zai le 	放在了	c=1 d=0.597501 t=1402
fang zheng 	方正	c=1 d=0.301194 t=1402
fei chai 	废柴	c=1 d=0.29671 t=1402
fei chu ge wei lai 	飞出个未来	c=2 d=0.833735 t=1402
fen 	份	c=1 d=0.839457 t=1402
fen qu 	分区	c=1 d=0.121846 t=1402
feng 	枫	c=1 d=0.565525 t=1402
feng ge 	风格	c=1 d=0.321422 t=1402
feng sao 	风骚	c=1 d=0.343009 t=1402
fu gai 	覆盖	c=1 d=0.88692 t=1402
fu hao 	符号	c=1 d=0.937068 t=1402
fu huo sai 	复活赛	c=0 d=0.0293758 t=1402
fu li lian 	芙莉莲	c=1 d=0.676834 t=1402
fu qi 	夫妻	c=1 d=0.794533 t=1402
fu wu 	服务	c=1 d=0.895834 t=1402
fu zhi 	复制	c=0 d=0.0759572 t=1402
fu zhi dao 	复制到	c=3 d=0.966972 t=1402
fu zhi ta gei de 	复制他给的	c=1 d=0.763379 t=1402
gai 	改	c=0 d=0.0790571 t=1402
gai cheng 	改成	c=4 d=1.48672 t=1402
gai de 	改的	c=1 d=0.715338 t=1402
gai wan zhi hou 	改完之后	c=1 d=0.794534 t=1402
gan 	干	c=1 d=0.240508 t=1402
gan ga le 	尴尬了	c=1 d=0.162026 t=1402
gan sha de 	干啥的	c=1 d=0.486752 t=1402
gan shen me 	干什么	c=1 d=0.382893 t=1402
gang cai 	刚才	c=1 d=0.158817 t=1402
gang zhi lian jin shu shi 	钢之炼金术师	c=1 d=0.425283 t=1402
gao 	搞	c=0 d=0.0168638 t=1402
gao cuo le 	搞错了	c=1 d=0.136014 t=1402
ge 	个	c=3 d=1.0112 t=1402
ge ren 	个人	c=1 d=0.511709 t=1402
ge shi 	格式	c=0 d=0.029523 t=1402
ge shi da gai 	格式大概	c=1 d=0.29671 t=1402
ge shu 	个数	c=1 d=0.778801 t=1402
gei 	给	c=1 d=0.985112 t=1402
gei chu 	给出	c=1 d=0.486752 t=1402
gei chu xie jian yi 	给出些建议	c=1 d=0.822835 t=1402
gei le 	给了	c=1 d=0.67368 t=1402
gei shu ju 	给数据	c=1 d=0.65377 t=1402
gei wo 	给我	c=1 d=0.247833 t=1402
gen ben 	根本	c=2 d=1.36483 t=1402
